id,product,price,quantity
4641-leads,"Snap Shell for 13"" MacBook Air (CLEAR) ",$18.00 ,60
4753-leads,"Extreme Shell for ACER C720 11"" Chromebook (BLACK) ",$18.83 ,2000
5325-leads,"Extreme Shell for 11"" MacBook Air (GREY) ",$24.95 ,70
6473-leads,"Extreme Shell for 11"" MacBook Air (GREY) ",$24.65 ,50
8144-leads,"Extreme Shell for Asus C100 ""Flip"" Chromebook (GREY) ",$0.00 ,0
8616-leads,"Snap Shell for 13"" MacBook Air (CLEAR) ",$0.00 ,0
8752-leads,"Max 14"" XBAND with MaxGrip Assist (BLACK) ",$7.41 ,5
9000-leads,"Extreme Shell for 13"" MacBook Air (RED) ",$27.51 ,1
9624-leads,Extreme Shell for HP X2 (1012) in Grey ,$0.00 ,60
9624-leads,Shield Xtreme-S  for iPAD 5 ,$26.80 ,150
10048-leads,Xtreme Folio Case for iPad Air 2 in Black ,$24.75 ,25
10704-leads,Extreme Shell for Microsoft Surface Pro 3/4 - (GREY) ,$0.00 ,2200
10808-leads,"Extreme Shell for Samsung 11"" Chromebook 2 (GREY) ",$0.00 ,0
10808-leads,Extreme Shell for Samsung Chromebook 3 ,$0.00 ,0
11068-leads,Extreme Shell for Lenovo N22 Chromebook - (GREY) ,$0.00 ,0
11068-leads,Shield Xtreme™ Case For iPad Air 2 (BLACK)  ,$0.00 ,30
11068-leads,Extreme Shell for Lenovo N23 (Grey)  WINDOWS ,$0.00 ,0
11416-leads,SnapShell Apple MacBook Pro Retina 13 (BLUE)  ,$0.00 ,0
11416-leads,MAX Extreme Shell iPad Pro 9 ,$0.00 ,0
11500-leads,"Extreme Shell for Asus C100 ""Flip"" Chromebook (GREY) ",$0.00 ,0
11512-leads,"Extreme Shell for ACER C740 11"" Chromebook (GREY) ",$0.00 ,0
11512-leads,"Extreme Shell for 11"" MacBook Air (GREY) ",$0.00 ,0
11512-leads,"Extreme Shell for 13"" MacBook Air (GREY) ",$0.00 ,0
12896-leads,"Extreme Shell for DELL 11"" Chromebook Gen 1 (GREY) ",$0.00 ,0
12896-leads,Extreme Shell For Dell 3189 ,$14.25 ,2600
12896-leads,"Max Zip Sleeve 11"" Bag (BLACK) ",$0.00 ,6500
12896-leads,"MAX Extreme Shell for HP 11"" Probook X 360EE 11 ",$0.00 ,2600
14504-leads,Extreme Shell Lenovo N23 Chromebook Clamshell ,$16.58 ,550
14568-leads,Extreme Shell for Lenovo N23 Chromebook Yoga (360 Degrees) ,$20.00 ,4000
14572-leads,Extreme Shell for Lenovo N22 Chromebook - (GREY) ,$0.00 ,0
14904-leads,Shield Extreme Case S for iPad Mini 4 - Sleek ,$24.00 ,4
16560-leads,Guardian Case for iPad Air (BLACK)  ,$0.00 ,0
16740-leads,"Max Zip Sleeve 11"" Bag (BLACK) ",$14.40 ,360
20632-leads,Shield Case For iPad Air 2 (Black) ,$23.95 ,7
20948-leads,"Extreme Shell for Asus C100 ""Flip"" Chromebook (GREY) ",$0.00 ,0
21004-leads,"Extreme Shell for HP G4 11"" EE Chromebook (GREY) ",$16.98 ,300
21004-leads,Ranger Bag 11 Side Load ,$0.00 ,300
21004-leads,Max Loading Ranger Bag (Top Loading) ,$0.00 ,300
21004-leads,"Max Zip Sleeve 11"" Bag (BLACK) ",$0.00 ,1
21240-leads,"Max 14"" Explorer Bag 2.0 ",$0.00 ,1
21880-leads,Extreme Shell Lenovo N23 Chromebook Clamshell ,$0.00 ,5556
22180-leads,"Extreme Shell for ACER C740 11"" Chromebook (GREY) ",$0.00 ,15
22504-leads,"Extreme Shell for 13"" MacBook Air (GREY) ",$20.38 ,1
22704-leads,"MAX Extreme Shell for HP 11"" Probook X 360EE 11 ",$0.00 ,1
22704-leads,HP Chromebook x360 G1EE ,$0.00 ,1
22704-leads,"HP Extreme Shell 11"" Chromebook G5 EE Clamshell ",$0.00 ,1
22704-leads,Extreme Shell For Dell 3189 ,$0.00 ,1
22704-leads,"Dell Extreme Shell 3180 11"" Black  ",$0.00 ,1
22704-leads,Acer C731 11'' Black ,$0.00 ,1
22704-leads,SnapShell for Acer C738T/R11 Chromebook-CLear ,$16.98 ,1
22704-leads,MAX Rugged Sleeve MBAs 13 ,$0.00 ,1
22732-leads,Shield Case for iPAD 5 ,$0.00 ,1
22732-leads,Shield Xtreme-S  for iPAD 5 ,$0.00 ,1
22732-leads,Extreme Folio for iPad 5 ,$0.00 ,1
22732-leads,Key Case for iPad 5 ,$0.00 ,1
22948-leads,Key Case for iPad 5 ,$34.20 ,100
22948-leads,Shield Xtreme-S  for iPAD 5 ,$17.10 ,83
22956-leads,"HP Extreme Shell 11"" Chromebook G5 EE Clamshell ",$18.05 ,240
22956-leads,Extreme Shell For HP G5 Chromebook ,$0.00 ,240
23112-leads,Extreme Shell Lenovo N23 Chromebook Clamshell ,$0.00 ,1
23124-leads,"Max 11"" Explorer Bag 2.0 ",$0.00 ,1
23208-leads,Shield Case For iPad Air 2 (Black) ,$17.75 ,30
23208-leads,MAX Rugged Sleeve MBAs 13 ,$0.00 ,60
23208-leads,"Max Explorer Bag for 11"" Devices (BLACK) ",$17.50 ,1
23208-leads,Max Loading Ranger Bag (Top Loading) ,$0.00 ,1
23376-leads,SnapShell for Acer C738T/R11 Chromebook-CLear ,$0.00 ,1
23384-leads,"Dell Extreme Shell 3180 11"" Black  ",$0.00 ,1
23384-leads,"Max 11"" Explorer Bag 2.0 ",$0.00 ,1
23400-leads,SnapShell Apple MacBook Pro Retina 13 (CLEAR)  ,$0.00 ,1
23404-leads,"Max 11"" Explorer Bag 2.0 ",$0.00 ,1
23452-leads,Extreme Shell for Lenovo N22 Chromebook - (GREY) ,$0.00 ,0
23500-leads,Extreme Shell For Dell 3189 ,$0.00 ,0
23500-leads,"Dell Extreme Shell 3180 11"" Black  ",$0.00 ,0
23500-leads,"Max 11"" Explorer Bag 2.0 ",$0.00 ,0
23500-leads,"Max Zip Sleeve 11"" Bag (BLACK) ",$0.00 ,0
23536-leads,"Extreme Shell for HP G4 11"" EE Chromebook (GREY) ",$0.00 ,500
23656-leads,MAX Backpack ,$0.00 ,1
23756-leads,Keycase for Apple iPad Air 2 ,$38.00 ,15
23800-leads,Extreme Shell For HP G5 Chromebook ,$15.20 ,500
23800-leads,"HP Extreme Shell 11"" Chromebook G5 EE Clamshell ",$16.00 ,1
24124-leads,"Max 11"" Explorer Bag 2.0 ",$14.90 ,1300
24124-leads,Shield Xtreme-S™ Case for iPad Air - Sleek Version (BLACK)  ,$0.00 ,500
24124-leads,"Max 8"" XBAND with MaxGrip Assist (BLUE) ",$0.00 ,1
24124-leads,"Dell Extreme Shell 3180 11"" Black  ",$0.00 ,1200
24428-leads,Shield Case For iPad Air 2 (Black) ,$16.20 ,31
24532-leads,Extreme Shell for Lenovo N23 Chromebook Yoga (360 Degrees) ,$21.12 ,4000
24604-leads,Shield Case for iPAD 5 ,$25.87 ,35
24608-leads,Shield Xtreme™ Case For iPad Air 2 (BLACK)  ,$27.85 ,40
24624-leads,"Dell Extreme Shell 3180 11"" Black  ",$0.00 ,1
24624-leads,HP Chromebook x360 G1EE ,$0.00 ,1
24624-leads,Extreme Shell for HP X360 ,$0.00 ,1
24624-leads,Extreme Shell For Dell 3189 ,$0.00 ,1
24628-leads,"HP Extreme Shell 11"" Chromebook G5EE Clamshell  ",$0.00 ,1
24628-leads,"HP Extreme Shell 11"" Chromebook G5EE Clamshell - TOP ONLY ",$0.00 ,1
24628-leads,"Max 11"" Explorer Bag 2.0 ",$0.00 ,1
